sample_type,metric,description,stage,metrics_file,nn_lower,nn_upper,ideal_lower,ideal_upper,metrics_file_generated,component_report_generated,Rationale/reference
Experimental_lane,ex_lane_correct_product_ratio,"Ratio of products that have adapters, sample indices, UMIs, R1 and R2 in the expected order and map to the same chromosome within ~500bp",Align experimental sample reads,correctproduct_metrics.txt,0.3,1,0.5,1,TRUE,TRUE,Based on correct product ratio observed in CODECseq paper
Experimental,ex_read_alignment_rate,Alignment rate of processed reads,Align experimental sample reads,map_metrics.txt,70,100,80,100,TRUE,TRUE,Higher alignment rates indicate high quality reads
Experimental,ex_multimapping_rate,Percentage of reads that map to multiple genomic locations,Align experimental sample reads,map_metrics.txt,0,20,0,5,TRUE,TRUE,Reads should almost all map to only one position
Experimental,ex_insert_size,Mean insert size (start of R1 to end of R2) as determined by alignment (bp),Align experimental sample reads,insert_metrics.txt,50,300,100,200,TRUE,TRUE,"150bp gives ideal overlap, 300 gives no overlap and 50 gives 50bp overlap"
Matched,ms_read_alignment_rate,Alignment rate of processed reads,Align matched sample reads,alignment_stats.txt,50,100,80,100,TRUE,TRUE,Higher alignment rates indicate high quality reads
Matched,ms_multimapping_rate,Percentage of reads that map to multiple genomic locations,Align matched sample reads,alignment_stats.txt,0,20,0,5,TRUE,TRUE,Reads should almost all map to only one position
Matched,ms_duplication_rate,Percentage of reads marked as duplicates,Align matched sample reads,alignment_stats.txt,0,10,0,5,TRUE,TRUE,Duplication rates are typically ~3-7% with PCR-free prep
Matched,ms_insert_size,Peak of insert size distribution as determined by alignment (bp),Align matched sample reads,insert_size_metrics.txt,300,600,350,550,TRUE,TRUE,Illumina PCR-free prep should yield mean insert size 350-550bp depending on size selection
Matched,ms_germline_variants,Tally of the total number of variants called (x10^6  variants),Call germline variants,variantCall_summary.txt,4,6,4.5,5.5,TRUE,TRUE, Does the number of called variants agrees with the number of expected germline variants in the population (TABLE 1: https://pmc.ncbi.nlm.nih.gov/articles/PMC9439720/)
Matched,ms_SNV_indel_ratio,Calculate the ratio of SNV's / INDELS,Call germline variants,variantCall_summary.txt,4.3,4.9,4.4,4.8,TRUE,TRUE,Does the SNV/INDEL ratio agree with the expected population ratio (TABLE 1: https://pmc.ncbi.nlm.nih.gov/articles/PMC9439720/)
Matched,ms_insertion_deletion_ratio,Assess whether the IN/DEL ratio agress with the literature,Call germline variants,variantCall_summary.txt,0.91,0.95,0.92,0.94,TRUE,TRUE,TABLE 1: https://pmc.ncbi.nlm.nih.gov/articles/PMC9439720/
Matched,ms_MNP_other_variants,Number of MNP / OTHER variants after decomposition,Call germline variants,variantCall_summary.txt,0,0,0,0,TRUE,TRUE,MNP/OTHER should be converted to SNVs/INDELs
Matched,ms_transition_transversion_ratio,Assess whether the Ti/Tv ratio agrees with the expected ratio,Call germline variants,variantCall_summary.txt,1.9,2.2,2.05,2.15,TRUE,TRUE,https://onlinelibrary.wiley.com/doi/10.1002/bimj.202300278
Matched,ms_het_hom_ratio,Assess whether the Het/Hom ratio agrees with the expected ratio,Call germline variants,variantCall_summary.txt,1.2,2.1,1.3,2,TRUE,TRUE,https://onlinelibrary.wiley.com/doi/10.1002/bimj.202300278
Experimental,ex_somatic_depth_per_position,Percent of somatic SNVs called that have >1x alt depth,Call somatic variants,somatic_clustering_metrics.txt,0,1,0,0.01,TRUE,FALSE,"Most somatic mutations are expected to be very low VAF (<0.1%), so positions with >1x alt depth should be very rare"
Experimental,ex_somatic_variants_near_softclip,Percent of variant calls with somatic SNVs called within 150bp of any soft clipping event,Call somatic variants,TBD,0,1,0,0.01,FALSE,FALSE,Any variant called near soft clipping is at high risk of being due to incorrect alignment/contamination 
Experimental,ex_duplication_rate,Percentage of library that is flagged as UMI duplicates,Create double strand consensus,duplication_metrics.txt,0,40,0,25,TRUE,TRUE,Based on duplication rate observed in CODECseq paper
Experimental,ex_duplex_realignment,Percentage of reads which successfully aligned during DSC realignment,Create double strand consensus,dsc_remap_metrics.txt,99,100,99.5,100,TRUE,TRUE,
Experimental,ex_duplex_mapQ,Percentage of reads with a mapQ score of at least 60,Create double strand consensus,dsc_remap_metrics.txt,60,100,70,100,TRUE,TRUE,
Experimental,ex_mean_analyzable_duplex_depth,Total duplex bases in include_bed region divided by total positions in include_bed region,Create double strand consensus,dsc_coverage_metrics.txt,0.5,Inf,1,Inf,TRUE,TRUE,"Ideally >1x depth for good coverage, but max depth depends on experimental aims. To be considered a duplex base, requires >=Q70. "
Experimental,ex_variant_call_eligible,Percentage of genome eligible for variant calling (duplex depth > 0 & unmasked),Call somatic variants,dsc_coverage_metrics.txt,5,100,20,100,TRUE,TRUE,"Will be lower than bedregions coverage. To be considered a duplex base, requires >=Q70. "
Experimental,ex_duplex_coverage,Percentage of genome with duplex depth > 0,Create double strand consensus,dsc_coverage_metrics.txt,14.5,100,26.1,100,TRUE,TRUE,"Will be lower than bedregions coverage. To be considered a duplex base, requires >=Q70. "
Experimental,ex_duplex_base_disagreement,Rate at which Watson and Crick complementary bases disagree (total R1R2 disagreements divided by total duplex bases for each sample),Create double strand consensus,TBD,5.00E-04,8.00E-04,2.00E-04,5.00E-04,FALSE,FALSE,"nn_upper of 8e-4 = ~160 false positive somatic mutations, ideal_lower = ~18 false positive somatic mutations."
Matched,gDNA_yield,gDNA required for quantitation and standard Illumina sequencing by AGRF (ng),Library preparation,Qubit,650,1300,1300,Inf,TRUE,TRUE,"50ng for gel + 600ng requested by AGRF, more gives buffer"
Matched,gDNA_yield_variability,Variability in gDNA obtained from samples of the same type (normalised IQR),Library preparation,Qubit,0,0.3,0,0.2,TRUE,TRUE,0.2 is a common target for assay development
Matched,gDNA_fragment_size,gDNA fragment sizes required for standard Illumina sequencing by AGRF (bp),Library preparation,E-Gel,10000,20000,20000,Inf,TRUE,TRUE,"Illumina recommends fragment sizes of at least 10kb, 20kb+ is ideal for tagmentation"
Experimental,gDNA_yield,gDNA required for CODECseq library preparation (ng),Library preparation,Qubit,1050,2100,2100,Inf,TRUE,TRUE,"1000ng is absolute minimum for CODECseq + 50ng for gel, more gives buffer"
Experimental,Fragmented_DNA_yield,Yield of fragmented DNA required for quantitation and rest of CODECseq library preparation (ng),Library preparation,Qubit,70,80,80,Inf,TRUE,TRUE,"70ng is absolute minimum, more gives buffer"
Experimental,Fragmented_DNA_yield_variability,Variability in fragmented DNA yield between samples (normalised IQR),Library preparation,Qubit,0,0.3,0,0.2,TRUE,TRUE,0.2 is a common target for assay development
Experimental,Fragmented_DNA_insert_size,Fragment sizes of DNA inserts following enzymatic fragmentation and size selection (bp),Library preparation,E-Gel,50,300,100,200,TRUE,TRUE,"150bp gives ideal overlap, 300 gives no overlap and 50 gives 50bp overlap"
